web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574806543-28699;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Ensino W - Quesos El Pastor W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/porta-xi-ensino-w-quesos-el-pastor-de-la-polvoro-w/4IbWjXvE/;17.10.2018 - 20:45;(15:18, 17:17, 11:17, 20:11, 10:8);;
1574807041-28865;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Sant Adria W - Perfumerias Avenida W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/sant-adria-w-perfumerias-avenida-w/pQqKzkPd/;07.04.2019 - 19:00;(18:21, 16:16, 17:15, 9:11);;
1574806792-28782;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Uni Girona W - Zaragoza W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/uni-girona-w-mann-filter-zaragoza-w/dC3NOTDB/;06.01.2019 - 18:00;(28:7, 19:3, 17:16, 20:8);;
1574806939-28831;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Cadi La Seu W - Sant Adria W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/cadi-la-seu-w-sant-adria-w/OfF39i90/;23.02.2019 - 19:45;(25:22, 17:16, 22:12, 18:19);;
1574806624-28726;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Ferrol W - Bembibre W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/baxi-ferrol-w-bembibre-w/GfXXfwxH/;10.11.2018 - 19:00;(14:24, 16:21, 16:12, 18:13);;
1574806465-28673;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Gernika Bizkaia W - Valencia W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/gernika-bizkaia-w-valencia-w/fiwetkh6/;10.04.2019 - 20:30;(22:17, 17:13, 16:24, 14:22);Play Offs;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=xSIlPxWK
1574806483-28679;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Gernika Bizkaia W - Valencia W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/gernika-bizkaia-w-valencia-w/OdEpMw94/;17.04.2019 - 20:00;(8:18, 12:15, 8:20, 21:22);Play Offs;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=xSIlPxWK
1574806651-28735;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Al-Qazeres W - Sant Adria W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/al-qazeres-w-sant-adria-w/pAeeCv7i/;25.11.2018 - 12:00;(21:20, 18:15, 23:11, 27:11);;
1574806927-28827;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Quesos El Pastor W - Zaragoza W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/quesos-el-pastor-de-la-polvoro-w-mann-filter-zaragoza-w/tWPbAXgf/;23.02.2019 - 19:30;(19:18, 18:20, 23:13, 11:14);;
1574806906-28820;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Valencia W - Bembibre W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/valencia-w-bembibre-w/OYwTdEPf/;16.02.2019 - 19:15;(15:9, 14:21, 18:9, 18:10);;
1574806864-28806;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;IDK Gipuzkoa W - Al-Qazeres W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/idk-gipuzkoa-w-al-qazeres-w/zyvHUet2/;02.02.2019 - 18:00;(12:11, 13:14, 17:21, 15:14);;
1574806825-28793;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Perfumerias Avenida W - Cadi La Seu W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/perfumerias-avenida-w-cadi-la-seu-w/l6S0xmrB/;19.01.2019 - 18:00;(23:14, 22:12, 16:9, 10:13);;
1574806696-28750;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Al-Qazeres W - Cadi La Seu W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/al-qazeres-w-cadi-la-seu-w/8pYB8HND/;14.12.2018 - 20:30;(23:26, 9:21, 13:13, 16:14);;
1574806669-28741;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Uni Girona W - Ensino W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/uni-girona-w-porta-xi-ensino-w/hfNpNeL9/;02.12.2018 - 18:00;(31:12, 16:10, 16:16, 9:11);;
1574806546-28700;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;IDK Gipuzkoa W - Zaragoza W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/idk-gipuzkoa-w-mann-filter-zaragoza-w/UuKTWBmr/;18.10.2018 - 21:00;(16:10, 12:12, 19:15, 13:14);;
1574806834-28796;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Ferrol W - Quesos El Pastor W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/baxi-ferrol-w-quesos-el-pastor-de-la-polvoro-w/nFLUIbsj/;19.01.2019 - 19:00;(9:18, 24:17, 12:16, 17:10);;
1574806957-28837;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Zaragoza W - RPK Araski W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/mann-filter-zaragoza-w-rpk-araski-w/GnNVCQFh/;10.03.2019 - 12:15;(16:12, 15:18, 23:15, 16:11);;
1574806987-28847;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Perfumerias Avenida W - Uni Girona W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/perfumerias-avenida-w-uni-girona-w/CEGvB4p5/;17.03.2019 - 18:00;(20:17, 16:9, 23:17, 21:10);;
1574806705-28753;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/results/?stage=r5JpQIGE;Gernika Bizkaia W - Bembibre W;https://www.betexplorer.com/basketball/spain/liga-femenina-women-2018-2019/gernika-bizkaia-w-bembibre-w/tbWJ6ehQ/;15.12.2018 - 18:30;(25:25, 18:11, 12:7, 25:17);;
