web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574935088-7868;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=8IuEDU2K;Lattes Montpellier W - Union Hainaut W;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/lattes-montpellier-w-union-hainaut-w/IP0ykGL5/;01.03.2014 - 20:00;(31:14, 26:17, 20:13, 12:20);;
1574934673-7731;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=8IuEDU2K;Lyon W - Nantes W;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/lyon-w-nantes-w/n90dGpKE/;03.05.2014 - 20:00;(14:13, 21:9, 18:17, 23:22);5th-8th places;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=IeR598Qs
1574934908-7808;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=8IuEDU2K;Nantes W - Tarbes GB W;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/nantes-w-tarbes-gb-w/OERFkgBN/;01.12.2013 - 15:30;(24:21, 14:11, 20:7, 13:17);;
1574935242-7919;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=8IuEDU2K;ESB Lille W - Nice W;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/esb-lille-w-nice-w/ljtCKSSm/;16.04.2014 - 20:00;(14:11, 21:13, 20:8, 12:10);;
1574935199-7905;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=8IuEDU2K;Toulouse W - Angers W;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/toulouse-w-angers-w/IoE5DBLK/;02.04.2014 - 20:00;(20:10, 24:18, 20:10, 17:10);;
1574935085-7867;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=8IuEDU2K;Nice W - Tarbes GB W;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/nice-w-tarbes-gb-w/n5hhoYKU/;01.03.2014 - 20:00;(14:12, 13:14, 13:22, 22:23);;
1574934670-7730;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=8IuEDU2K;Lyon W - Nantes W;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/lyon-w-nantes-w/6e4JqMph/;01.05.2014 - 18:00;(16:22, 18:21, 21:15, 21:14);5th-8th places;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=IeR598Qs
1574935052-7856;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=8IuEDU2K;Lattes Montpellier W - Tarbes GB W;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/lattes-montpellier-w-tarbes-gb-w/WfNfxwx0/;09.02.2014 - 15:30;(19:15, 23:23, 27:17, 17:4);;
1574934796-7771;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=8IuEDU2K;Flammes Carolo W - Toulouse W;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/flammes-carolo-w-toulouse-w/p2FsSwd2/;26.10.2013 - 20:00;(15:11, 13:17, 20:12, 17:21);;
1574934929-7815;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/results/?stage=8IuEDU2K;ESB Lille W - Union Hainaut W;https://www.betexplorer.com/basketball/france/lfb-women-2013-2014/esb-lille-w-union-hainaut-w/px8p5YAA/;07.12.2013 - 20:00;(18:24, 22:17, 32:19, 21:12);;
