web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574933703-7679;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;ZTE NKK W - Bacsbasket W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/zte-nkk-w-bacsbasket-w/t4cgNOOc/;16.11.2012 - 16:45;(16:18, 20:26, 17:11, 16:19);;
1574933793-7709;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Budapest BSE W - Vasas Csata W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/budapest-bse-w-vasas-csata-w/xUydNqte/;22.12.2012 - 17:00;(21:9, 22:19, 20:16, 14:18);;
1574933477-7605;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Bacsbasket W - ZTE NKK W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/bacsbasket-w-zte-nkk-w/fLxlnPe1/;17.02.2013 - 19:00;(20:14, 8:12, 13:20, 9:6);Losers stage;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=8Gzy9p6c
1574933636-7657;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Cegledi W - UNI Gyor W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/cegledi-w-uni-gyor-w/4pXQjilJ/;18.10.2012 - 18:00;(15:34, 10:29, 17:19, 22:14);;
1574933603-7646;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;ZTE NKK W - Miskolc W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/zte-nkk-w-miskolc-w/UDauufk7/;10.10.2012 - 16:45;(17:17, 19:12, 19:21, 21:17);;
1574933513-7617;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Cegledi W - ZTE NKK W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/cegledi-w-zte-nkk-w/d81Vb2u7/;09.03.2013 - 16:00;(19:22, 20:18, 18:7, 11:19);Losers stage;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=8Gzy9p6c
1574933757-7697;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;ZTE NKK W - Atomeromu Szekszard W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/zte-nkk-w-atomeromu-szekszard-w/IDtMA6dk/;08.12.2012 - 16:45;(18:11, 16:11, 22:20, 16:24);;
1574933489-7609;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;ZTE NKK W - Atomeromu Szekszard W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/zte-nkk-w-atomeromu-szekszard-w/neDAY5R1/;27.02.2013 - 17:30;(16:17, 11:17, 25:14, 20:13);Losers stage;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=8Gzy9p6c
1574933805-7713;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Bacsbasket W - Atomeromu Szekszard W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/bacsbasket-w-atomeromu-szekszard-w/QkIjqR2E/;05.01.2013 - 18:00;(24:17, 26:18, 13:11, 16:15);;
1574933510-7616;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Vasas Csata W - Budapest BSE W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/vasas-csata-w-budapest-bse-w/AB5ZcMfD/;09.03.2013 - 18:30;(11:16, 10:11, 19:6, 4:12);Losers stage;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=8Gzy9p6c
1574933591-7642;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Budapest BSE W - Bacsbasket W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/budapest-bse-w-bacsbasket-w/jaMhlbSK/;06.10.2012 - 17:00;(19:18, 15:16, 17:15, 20:14);;
1574933624-7653;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Bacsbasket W - PEAC-Pecs W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/bacsbasket-w-peac-pecs-w/0hzAfZlf/;16.10.2012 - 19:00;(12:13, 22:23, 11:26, 14:19);;
1574933664-7666;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Atomeromu Szekszard W - Bacsbasket W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/atomeromu-szekszard-w-bacsbasket-w/8vFh5j3C/;27.10.2012 - 18:00;(14:15, 17:16, 8:21, 15:21);;
1574933417-7587;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Budapest BSE W - Vasas Csata W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/budapest-bse-w-vasas-csata-w/23c0JeWF/;20.04.2013 - 17:00;(15:14, 10:8, 21:7, 16:12);7th-10th places;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=vyPz69sU
1574933706-7680;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Miskolc W - Cegledi W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/miskolc-w-cegledi-w/OSnbMrv4/;16.11.2012 - 17:00;(26:17, 19:14, 23:18, 27:15);;
1574933784-7706;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;ZTE NKK W - PEAC-Pecs W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/zte-nkk-w-peac-pecs-w/dKTmP5Br/;19.12.2012 - 17:30;(24:17, 14:21, 17:8, 22:22);;
1574933657-7664;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Miskolc W - Vasas Csata W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/miskolc-w-vasas-csata-w/xEJd4AII/;27.10.2012 - 18:30;(36:10, 29:14, 18:12, 23:6);;
1574933459-7599;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=ILzS7VCH;Budapest BSE W - Atomeromu Szekszard W;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/budapest-bse-w-atomeromu-szekszard-w/dQf1eTYE/;07.02.2013 - 18:00;(16:21, 21:25, 15:23, 31:16);Losers stage;https://www.betexplorer.com/basketball/hungary/division-1-women-2012-2013/results/?stage=8Gzy9p6c
