web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574849774-1359;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Banska Bystrica W - Nitra W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/banska-bystrica-w-nitra-w/r7YJXwKE/;03.03.2018 - 18:00;(18:12, 9:14, 17:14, 20:17);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=SA60scTA
1574849891-1396;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Samorin W - Nitra W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/samorin-w-nitra-w/vkrosHK8/;04.10.2017 - 19:00;(18:8, 22:9, 6:17, 19:12);;
1574849843-1380;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Piestanske Cajky W - Ruzomberok W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/piestanske-cajky-w-ruzomberok-w/hWS9pryo/;21.03.2018 - 18:00;(23:16, 7:22, 16:14, 16:18);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=fyHbuHrH
1574849996-1431;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Piestanske Cajky W - Nitra W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/piestanske-cajky-w-nitra-w/UwybvF4R/;06.12.2017 - 18:00;(29:14, 15:6, 16:5, 19:9);;
1574849837-1378;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Nitra W - Ruzomberok W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/nitra-w-ruzomberok-w/MVvtokeN/;14.03.2018 - 18:00;(8:31, 6:15, 12:16, 5:22);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=fyHbuHrH
1574850029-1442;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Poprad W - Banska Bystrica W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/poprad-w-banska-bystrica-w/dnWUc01H/;06.01.2018 - 17:30;(18:9, 20:14, 7:16, 16:3);;
1574849755-1353;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Nitra W - Banska Bystrica W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/nitra-w-banska-bystrica-w/xzDPDISr/;17.02.2018 - 16:00;(25:12, 16:7, 8:18, 20:13);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=SA60scTA
1574849921-1406;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Slovan Bratislava W - Banska Bystrica W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/slovan-bratislava-w-banska-bystrica-w/0fgVQbV3/;21.10.2017 - 15:00;(14:1, 8:12, 3:17, 17:16);;
1574849831-1376;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Slovan Bratislava W - Good Angels Kosice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/slovan-bratislava-w-good-angels-kosice-w/UNMYnBQA/;13.03.2018 - 17:15;(15:23, 12:23, 13:19, 2:16);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=fyHbuHrH
1574850026-1441;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Slovan Bratislava W - Samorin W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/slovan-bratislava-w-samorin-w/2PWQbtnB/;06.01.2018 - 15:00;(8:14, 20:12, 11:17, 14:17);;
1574849761-1355;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Slovan Bratislava W - Banska Bystrica W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/slovan-bratislava-w-banska-bystrica-w/WdCTCxrk/;22.02.2018 - 17:30;(17:11, 2:19, 17:10, 13:7);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=SA60scTA
1574849939-1412;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Piestanske Cajky W - Banska Bystrica W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/piestanske-cajky-w-banska-bystrica-w/EccZPIpA/;28.10.2017 - 18:00;(18:12, 20:0, 21:6, 19:8);;
1574849972-1423;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Ruzomberok W - Banska Bystrica W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/ruzomberok-w-banska-bystrica-w/2LEB6Uqk/;25.11.2017 - 17:00;(29:9, 29:11, 15:8, 24:8);;
1574849963-1420;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Samorin W - Banska Bystrica W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/samorin-w-banska-bystrica-w/YoA77AUr/;18.11.2017 - 18:00;(14:14, 13:13, 10:20, 18:14);;
1574849849-1382;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Samorin W - Good Angels Kosice W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/samorin-w-good-angels-kosice-w/xMq0dmvl/;24.03.2018 - 18:00;(12:25, 18:16, 14:26, 10:11);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=fyHbuHrH
1574850035-1444;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Samorin W - Poprad W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/samorin-w-poprad-w/zwVYdKGN/;13.01.2018 - 18:00;(21:18, 15:17, 17:15, 14:15);;
1574849954-1417;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Nitra W - Banska Bystrica W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/nitra-w-banska-bystrica-w/dMnvPx0G/;05.11.2017 - 18:00;(17:18, 18:4, 19:11, 14:16);;
1574849894-1397;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Banska Bystrica W - Ruzomberok W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/banska-bystrica-w-ruzomberok-w/dQxjtyzF/;04.10.2017 - 18:00;(13:20, 14:12, 16:20, 15:18);;
