web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574946923-9037;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Zabiny Brno W - Trutnov W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/zabiny-brno-w-trutnov-w/jFCM4zxi/;27.03.2013 - 18:00;(37:10, 33:11, 26:21, 21:14);Winners stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=EH12NzCc
1574946932-9040;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Zabiny Brno W - USK Prague W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/zabiny-brno-w-usk-prague-w/dGiN3x73/;30.03.2013 - 17:00;(18:23, 19:10, 11:21, 20:18);Winners stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=EH12NzCc
1574947103-9095;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Pardubice W - Karlin W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/pardubice-w-karlin-w/KKsQQ2mi/;03.10.2012 - 18:00;(15:28, 16:25, 17:15, 15:17);;
1574946983-9055;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Trutnov W - VS Prague W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/trutnov-w-vs-prague-w/jgVxwKdq/;02.04.2013 - 18:00;(19:17, 23:18, 18:21, 20:11);Play Offs;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=4bjnbXJj
1574947420-9198;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;KP Brno W - Chance U19 W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/kp-brno-w-chance-u19-w/b1oXrHRP/;26.01.2013 - 16:30;(15:18, 17:13, 14:14, 22:17);;
1574947136-9106;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;USK Prague W - Zabiny Brno W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/usk-prague-w-zabiny-brno-w/M5FHZcWL/;10.10.2012 - 18:00;(34:21, 14:19, 15:10, 15:18);;
1574947140-9107;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Pardubice W - Trutnov W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/pardubice-w-trutnov-w/WGM4x0n3/;10.10.2012 - 18:00;(18:18, 4:21, 12:18, 4:20);;
1574947016-9066;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Hradec Kralove W - KP Brno W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/hradec-kralove-w-kp-brno-w/OQ3lCK22/;10.04.2013 - 18:30;(13:22, 28:15, 17:14, 15:15);Play Offs;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=4bjnbXJj
1574946851-9014;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Chance U19 W - Karlovy Vary W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/chance-u19-w-karlovy-vary-w/2eJCApKm/;10.04.2013 - 18:00;(16:23, 16:12, 10:12, 14:17);Losers stage;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=zR2bOGdi
1574947344-9175;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/results/?stage=Q7iraD4p;Slavia Prague W - Karlovy Vary W;https://www.betexplorer.com/basketball/czech-republic/zbl-women-2012-2013/slavia-prague-w-karlovy-vary-w/WG2Idwi1/;19.12.2012 - 17:45;(24:3, 19:10, 30:12, 12:19);;
