web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574956080-9808;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Widzew Lodz W - Sleza Wroclaw W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/widzew-lodz-w-sleza-wroclaw-w/Spcb8Zwq/;26.02.2017 - 19:00;(14:23, 15:19, 9:21, 12:21);;
1574955881-9742;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Sleza Wroclaw W - Widzew Lodz W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/sleza-wroclaw-w-widzew-lodz-w/xrN1HzMK/;27.11.2016 - 18:00;(25:6, 19:13, 17:22, 15:17);;
1574956022-9789;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Torun W - Gorzow W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/torun-w-gorzow-w/AZVgtHfj/;04.02.2017 - 18:00;(19:18, 18:11, 21:19, 26:17);;
1574955827-9724;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Siedlce W - Sosnowiec W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/siedlce-w-sosnowiec-w/txsr56Wc/;29.10.2016 - 17:00;(17:14, 17:18, 30:16, 15:16);;
1574956044-9796;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Sleza Wroclaw W - Ostrow Wielkopolski W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/sleza-wroclaw-w-ostrow-wielkopolski-w/hf5c0xnM/;11.02.2017 - 17:00;(23:9, 15:5, 12:11, 18:19);;
1574955887-9744;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Ostrow Wielkopolski W - Siedlce W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/ostrow-wielkopolski-w-siedlce-w/tGThJdi8/;27.11.2016 - 17:00;(23:25, 19:19, 22:21, 17:14);;
1574955896-9747;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Sleza Wroclaw W - Torun W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/sleza-wroclaw-w-torun-w/27Fm8Wr7/;03.12.2016 - 18:00;(17:23, 28:14, 27:14, 19:16);;
1574956104-9816;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Arka Gdynia W - Widzew Lodz W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/arka-gdynia-w-widzew-lodz-w/KbM7AsRQ/;04.03.2017 - 17:00;(25:14, 20:16, 24:18, 17:24);;
1574956086-9810;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Arka Gdynia W - Polkowice W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/arka-gdynia-w-polkowice-w/QyBWCFVR/;26.02.2017 - 17:00;(15:19, 18:24, 19:19, 18:9);;
1574956034-9793;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Widzew Lodz W - Artego Bydgoszcz W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/widzew-lodz-w-artego-bydgoszcz-w/M9ZcuyAd/;05.02.2017 - 19:00;(13:22, 11:16, 10:18, 13:16);;
1574956025-9790;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Sosnowiec W - Siedlce W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/sosnowiec-w-siedlce-w/GCWkscup/;04.02.2017 - 17:00;(17:18, 20:20, 19:29, 21:20);;
1574955698-9683;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=bXeT7VR0;Sleza Wroclaw W - Polkowice W;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/sleza-wroclaw-w-polkowice-w/6DgPmRK1/;12.04.2017 - 19:00;(16:18, 9:11, 19:25, 23:5);Play Offs;https://www.betexplorer.com/basketball/poland/ekstraklasa-women-2016-2017/results/?stage=hfeX6ks7
